CondRecNo.	Material	Material Number	Amount	Valid From	Valid to	SOrg.	DChl
0000181328	000000000010218340	PRINCESS STORIES VOL 1 (DVD) WD	44.42	01.06.2011	31.12.9999	101	10
0000181329	000000000010218179	PRINCESS STORIES VOL 2 (DVD) WD	44.42	01.06.2011	31.12.9999	101	10
0000181330	000000000010218200	SNOW WHITE & THE SEVEN DWARFS-2DISC(DVD)	96.28	01.06.2011	08.06.2011	101	10
0000181332	000000000010217731	PSP RED+JUICED 2+MOTORSTORM AE+TEKKEN DR	1400.00	25.05.2011	31.12.9999	111	21
0000181694	000000000010219045	PSP BL+ATV OFFROAD FP ESS+SYPHON FDM ESS	1200.00	26.05.2011	02.10.2011	111	21
0000181695	000000000010218891	GNOMEO & JULIET (DVD) OTH	145.00	27.05.2011	05.07.2011	101	11
0000181696	000000000010218901	GNOMEO & JULIET (BLU RAY) (RENTAL) OTH	185.17	27.05.2011	31.12.9999	101	11
0000181697	000000000010218892	DEEP BLUE (DVD) OTH	130.00	27.05.2011	31.07.2011	101	11
0000181698	000000000010218893	BEATDOWN (DVD) OTH	220.00	27.05.2011	31.08.2011	101	11
0000181699	000000000010218791	LEMONADE MOUTH (DVD) WD	74.06	27.05.2011	08.03.2012	101	11
0000181700	000000000010218904	HANNAH MONTANA S4 - 2 DISC (DVD) WD	74.06	27.05.2011	31.12.9999	101	11
0000181701	000000000010218916	I AM NUMBER 4 (DVD) WD	290.00	27.05.2011	24.07.2011	101	11
0000181702	000000000010218917	I AM NUMBER 4 (BLU RAY) (RENTAL) WD	185.17	27.05.2011	31.12.9999	101	11
0000181703	000000000010218894	PROWL (DVD) OTH	180.00	27.05.2011	31.07.2011	101	11
0000181704	000000000010218895	WINTER'S BONE (DVD) OTH	240.00	27.05.2011	31.07.2011	101	11
0000181705	000000000010218896	AMERICAN VIRGIN (DVD) OTH	220.00	27.05.2011	31.08.2011	101	11
0000181706	000000000010217567	PRODIGY (DVD) OTH	200.00	27.05.2011	31.08.2011	101	11
0000181707	000000000010218897	MIRAL (DVD) OTH	130.00	27.05.2011	31.08.2011	101	11
0000181708	000000000010218908	MECHANIC, THE (DVD) CRYSTAL BROOK	270.00	27.05.2011	31.12.9999	101	11
0000181709	000000000010218911	MECHANIC, THE  (BLU RAY) CRYSTAL BROOK	230.00	27.05.2011	31.12.9999	101	11
0000181710	000000000010218898	SUPERHELDE (DVD) OTH	270.00	27.05.2011	31.08.2011	101	11
0000181711	000000000010217655	EATING OUT: ALL YOU CAN EAT (DVD) OTH	130.00	27.05.2011	31.08.2011	101	11
0000181712	000000000010218899	TRIPLE DOG (DVD) OTH	200.00	27.05.2011	31.08.2011	101	11
